state,Per_Capita_Income
AK,68635.0
AL,50916.0
AR,52618.0
AZ,58442.0
CA,77036.0
CO,75722.0
CT,82938.0
DC,95970.0
DE,63243.0
FL,64806.0
GA,56589.0
HI,61779.0
IA,60222.0
IA/IL,
ID,56614.0
IL,67655.0
IN,58323.0
KS,60424.0
KY,51921.0
LA,54501.0
MA,84561.0
MD,70228.0
ME,60599.0
MI,57038.0
MN,68840.0
MO,57818.0
MS,46370.0
MT,60984.0
NC,58109.0
ND,70360.0
NE,64268.0
NH,73910.0
NJ,77199.0
NM,52194.0
NV,62085.0
NY,75407.0
OH,57777.0
OK,56298.0
OR,62303.0
PA,64506.0
RI,63557.0
SC,53618.0
SD,68176.0
TN,58292.0
TX,62586.0
UT,59457.0
VA,68985.0
VT,63039.0
WA,75332.0
WI,61475.0
WV,49993.0
WY,73248.0
